added,amenities,area,bath,bedroom,currency,deal_type,description,home_url,house_type,is_titanium,is_trusted,location,price,purpose
Added: 25 minutes ago,"Main Features,Rooms,Business and Communication,Community Features,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities
",5 Marla,5,3,PKR,super hot,"PAK PROPERTY NETWORK Offer,Hot Deal,Prime Location,Property Features,Bedrooms With Attached Bathrooms,TV Lounge Drawing Room Dinning Room,Kitchen,Store Room,Space For Car Parking,About Phase,The Town Offer A Comprehensive Life Style To The Facilities In The Same Location, Easy Approach From All Sides Of The City Makes The Phase Appealing As One Can Easily Approach Any Part Of Lahore City. ,Near To Masjid,Shopping Malls,Branded Store,Food Court,The House Boasts Excellent Design And Also Features Facilities That Guarantee A Comfortable, Convenient Lifestyle. ,PAK PROPERTY NETWORK Will Provide Initial Advice For Free And The Enquiry Will Be Handled By One Of Our Fully Qualified Consultant Or Director. We Have Built An Enviable Reputation For Selling A Varied Portfolio Of Properties. ,NOTE More Options Available 5 Marla 10 Marla 1 Kanal 2 Kanal In Low Budget,PLEASE CONTACT US TO BOOK AN APPOINTMENT FOR VIEWING",https://www.zameen.com/Property/lahore_bankers_avenue_cooperative_housing_society_10_marla_brand_new_spanish_house_for_sale_in_banker_avenue_co-operative_housing_society-52223199-8325-1.html,House,Titanium,no,"Bahria Town, Lahore, Punjab",1.6 Crore,For Sale
Added: 33 minutes ago,"Main Features,Rooms,Business and Communication,Community Features,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities
",6.5 Marla,4,3,PKR,super hot,"6.5 Marla house for sale ,New iqbal park,Nearest location ( DHA PHASE 1 and opposite to adil/ Rasheed hospital ,3 bedroom with attached bath ,T,v lounge, dawring, dinning , powder room ,Double kitchen ,1 big car parking ,Gated society ,Demand 240 Lac ( Almost final )",https://www.zameen.com/Property/cantt_new_iqbal_park_cantt_6_5_marla_well_maintained_house_for_sale_in_new_iqbal_park_near_dha_phase_1-50108815-8398-1.html,House,Titanium,no,"Cantt, Lahore, Punjab",2.3 Crore,For Sale
Added: 33 minutes ago,"Main Features,Rooms,Business and Communication,Community Features,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities
",5 Marla,4,3,PKR,super hot,"DHA LAHORE,5 Marla House In C Block DHA Phase 9 Town Lahore , 3 Bedrooms, 5 Bath , 1 Living & Dining , 1 Car Parking , Demand 215 Lacs Final,NOTE : The Other Features You May See On Visit.",https://www.zameen.com/Property/cantt_new_iqbal_park_cantt_6_5_marla_well_maintained_house_for_sale_in_new_iqbal_park_near_dha_phase_1-50108815-8398-1.html,House,Titanium,no,"DHA Defence, Lahore, Punjab",1.85 Crore,For Sale
Added: 33 minutes ago,"Main Features,Rooms,Business and Communication,Community Features,Nearby Locations and Other Facilities,Other Facilities
",3 Marla,4,3,PKR,super hot,"Friends Real Estate :,Good Offers' The Best Opportunity To Live in Your Dream House;,3 Marla Luxury Brand New House For Sale On Main Bedian Nearby DHA Phase 7 Lahore ;,Main Features,Built In Year: Brand New,View: Beautiful,Parking Spaces: YS,Double Glazed Windows,Central Air Conditioning,Flooring: Tiles,Electricity Backup: Ups,Waste Disposal,Floors: 2,Bankers Avenue Cooperative Housing Society,Opposite To DHA Phase 7,Demand 95 LAC,House Features,3 Bedrooms (1 Master Bed),4 Bathrooms (1 Luxury Bath),2 Beautiful Kitchens,2 TV Longue,1 Beautiful Terrace,1 Store Room,1 Servant Quarter,1 Big Garage,1 Graveyard,Society Features,Gated Society,Security 24 /7,Carpet Road 40',Electricity Available,Park In Each Block,Masjid,Commercial Market,Business And Communication,Broadband Internet Access,Satellite Or Cable TV Ready,Intercom,Other Business And Communication Facilities: ALL,Community Features,Community Lawn Or Garden,Kids Play Area,Barbeque Area,Other Community Facilities: ALL,Healthcare Recreational,Nearby Locations DHA Phase 7,This Property Is Very Valuable And At Prime Location. ,With Reasonable Price. 95 LAC,Please Feel Free To Call Us If You Need Further Details About It. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal.",https://www.zameen.com/Property/cantt_new_iqbal_park_cantt_6_5_marla_well_maintained_house_for_sale_in_new_iqbal_park_near_dha_phase_1-50108815-8398-1.html,House,Titanium,no,"Bedian Road, Lahore, Punjab",95 Lakh,For Sale
Added: 33 minutes ago,"Main Features,Rooms,Business and Communication,Community Features,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities
",2 Kanal,7,6,PKR,super hot,"HARMAIN REAL ESTATE OFFERS' HIDDEN OUT OF MARKET BUNGALOW,TWO KANAL Bungalow Details:,> 6 Master Bed with attached Baths,> 7 Bathrooms in the Bungalow. ,> 3 Beautiful T. V Lounge,> 1 Drawing,> 2 Dinning ,> 3 Kitchens,> 2 Servant Quarters,> 4 Big Cars Parking,> Grohi Sanitary Fittings,> 2 Store Rooms,> Beautiful Lawn & Terrace,> Bar B. Q Area in Bungalow,> Imported Tiles Flooring,> 2 Imported Jacuzzi's and 5 Cabin Showers in baths. ,Main Approach from Ring Road Near Main Boulevard, DHA Office Complex, All Banks Hub, Real Estates Hub, Al-Fatah Store and Gloria Jeans are on the way. ,Very Reasonable Demand. ,Meeting Possible 24/7.",https://www.zameen.com/Property/cantt_new_iqbal_park_cantt_6_5_marla_well_maintained_house_for_sale_in_new_iqbal_park_near_dha_phase_1-50108815-8398-1.html,House,Titanium,no,"DHA Defence, Lahore, Punjab",48 Crore,For Sale
Added: 33 minutes ago,"Main Features,Rooms,Business and Communication,Community Features,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities
",5 Marla,3,3,PKR,super hot,"5 Marla Luxury House for Sale in Bankers Avenue Society, Bedian Road, Lahore,Discover this beautifully designed 5 Marla luxury house located in the prestigious Bankers Avenue Society on Bedian Road, Lahore. This property offers modern amenities and an ideal living space for families seeking comfort and style. ,Property Features, Bedrooms: 3 spacious and well-lit bedrooms, Washrooms: 3 elegantly designed washrooms with modern fittings, Kitchens: 2 fully equipped kitchens with premium finishes, TV Lounges: 2 stylish and comfortable TV lounges, Car Parking: Ample space for secure car parking,Additional Benefits, Located in a gated community with 24/7 security, Surrounded by a peaceful and well-maintained environment, Close proximity to key areas and daily life amenities, Perfectly designed for a modern and luxurious lifestyle,This house is the perfect blend of elegance and functionality, making it an ideal home for your family. ,Contact us today for more details or to schedule a visit!",https://www.zameen.com/Property/cantt_new_iqbal_park_cantt_6_5_marla_well_maintained_house_for_sale_in_new_iqbal_park_near_dha_phase_1-50108815-8398-1.html,House,Titanium,no,"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",1.6 Crore,For Sale
Added: 33 minutes ago,"Main Features,Rooms,Business and Communication,Community Features,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities
",10 Marla,6,5,PKR,super hot,"Solar Installed ,Fully Solid House,Near Masjid ,Near Main Boulevard ,Near Commercial Market,Ideal location ,Peaceful Surrounding,4 Master Bedroom ,5 Washrooms,10.55 Marla House",https://www.zameen.com/Property/cantt_new_iqbal_park_cantt_6_5_marla_well_maintained_house_for_sale_in_new_iqbal_park_near_dha_phase_1-50108815-8398-1.html,House,Titanium,no,"Bahria Town, Lahore, Punjab",3.2 Crore,For Sale
Added: 33 minutes ago,"Main Features,Nearby Locations and Other Facilities,Other Facilities
",10 Marla,5,4,PKR,super hot,"10 Marla House Fully Furnished For sale Prime Location In punjab society ghazi road lahore,Luxurious 10 Marlal House for sale on Ghazi Road Lahore Which is p[unjab society This area is facilitating to different commercial activities such as Key Lifestyles and convenience around this area include Sports Field, Habib Metro Bank, Sindh Bank, Ali Hotel, PSO Petrol Pump, and Attock CNG Petrol Pump. ,Key Features,4 Bedrooms,5 Washrooms,TV Lounge,Kitchen,Dining Room & Drawing hall ,Parking Space for 1 Cars,Tiled Flooring,separate 3 phase meter ,Feel free to contact us for an immediate deal .",https://www.zameen.com/Property/cantt_new_iqbal_park_cantt_6_5_marla_well_maintained_house_for_sale_in_new_iqbal_park_near_dha_phase_1-50108815-8398-1.html,House,Titanium,no,"Cantt, Lahore, Punjab",4.3 Crore,For Sale
Added: 33 minutes ago,"Main Features,Rooms,Business and Communication,Community Features,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities
",5 Marla,4,4,PKR,super hot,"5 Marla Beautiful House Includes:,4 Bedrooms,4 Bathrooms,2 Kitchen,2 TV Lounge,Drawing Dining,A+ Grade Material Used,Ready to Move,Ultra Luxury House,Ideal Location,Developed Area,Peaceful Environment,Good Community,All Modern Amenities,Key Features Of Area,24 7 Security Services,Easy Access Through Canal Road,Beautiful Mosques Inside The Society,Block Wise Parks,Near Lahore Expo Center,Near To Emporium Mall,Near To Thokar Niaz Baig &Amp; Motorway,On Multan Road Easy To Access,Restaurant And Food Franchise (Available),Finance &Amp; Trade Centre,Banks Available In The Society,School And Play Ground (Available).",https://www.zameen.com/Property/cantt_new_iqbal_park_cantt_6_5_marla_well_maintained_house_for_sale_in_new_iqbal_park_near_dha_phase_1-50108815-8398-1.html,House,Titanium,no,"Park View City, Lahore, Punjab",2 Crore,For Sale
Added: 33 minutes ago,"Main Features,Rooms,Business and Communication,Community Features,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities
",17 Marla,6,5,PKR,super hot,new construction hut design 5 bedrooms 5 baths 1 powder room 1 drawing room dining and 2 t. v lounge 1 kitchen 1 store room laundry area 1 servant quarter fall silling shower cabin in baths big terrace 3 cars parking space near to park mosque cash and carry boots pharmacy and clinic SUB WAY jalal sons carefore KFC MCDONALD gloria jeans,https://www.zameen.com/Property/cantt_new_iqbal_park_cantt_6_5_marla_well_maintained_house_for_sale_in_new_iqbal_park_near_dha_phase_1-50108815-8398-1.html,House,Titanium,no,"Askari, Lahore, Punjab",2.5 Lakh,For Sale
Added: 25 minutes ago,"Main Features,Rooms,Business and Communication,Community Features,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities
",10 Marla,5,5,PKR,super hot,"10 Marla Spanish Brand New House For Sale ,Empire Estate :,Location:,Bankers Avenue Cooperative Housing Society ,Main Bedian Nearby DHA Phase 7 Lahore ,Main Features,Built in year: brand new,View: Beautiful,Parking Spaces: 2,Double Glazed Windows,Central Air Conditioning,Flooring: Tiles,Waste Disposal,Floors: 1,Bankers Avenue Cooperative Housing Society ,Opposite to DHA Phase 7,House Features ,5 Bedrooms ,5 Bathrooms (1 Luxury bath),2 Beautiful kitchens ,2 Tv Longue,1 Dining room ,1 Drawing Room,Sarvent Quartes,1 graveyard,Society features ,Gated society,Security 24 /7,Carpet road 40',Electricity available,Park in each Block,Masjid ,Commercial Market,Kids Play Area,Nearby Locations DHA Phase 7,This Property Is Very Valuable and At Prime Location. ,Please Feel Free To Call Us If You Need Further Details About It. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal. ,This house is the perfect blend of elegance and functionality, making it an ideal home for your family. ,Contact us today for more details or to schedule a visit!",https://www.zameen.com/Property/lahore_bankers_avenue_cooperative_housing_society_10_marla_brand_new_spanish_house_for_sale_in_banker_avenue_co-operative_housing_society-52223199-8325-1.html,House,Titanium,no,"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",3.4 Crore,For Sale
Added: 33 minutes ago,"Main Features,Rooms,Business and Communication,Community Features,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities
",5 Marla,4,4,PKR,super hot,"5 Marla Beautiful House Includes:,4 Bedrooms,4 Bathrooms,2 Kitchen,2 TV Lounge,Drawing Dining,A+ Grade Material Used,Ready to Move,Ultra Luxury House,Ideal Location,Developed Area,Peaceful Environment,Good Community,All Modern Amenities,Key Features Of Area,24 7 Security Services,Easy Access Through Canal Road,Beautiful Mosques Inside The Society,Block Wise Parks,Near Lahore Expo Center,Near To Emporium Mall,Near To Thokar Niaz Baig &Amp; Motorway,On Multan Road Easy To Access,Restaurant And Food Franchise (Available),Finance &Amp; Trade Centre,Banks Available In The Society,School And Play Ground (Available).",https://www.zameen.com/Property/cantt_new_iqbal_park_cantt_6_5_marla_well_maintained_house_for_sale_in_new_iqbal_park_near_dha_phase_1-50108815-8398-1.html,House,Titanium,no,"Park View City, Lahore, Punjab",1.75 Crore,For Sale
Added: 25 minutes ago,"Main Features,Rooms,Business and Communication,Community Features,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities
",5 Marla,4,3,PKR,super hot,"FACING PARK,3 BED 4 BATH ,DOUBLE LOUNGE,DOUBLE IITCHEN,SINGKE DRAWING ROOM,BRAND NEW HOUSE ,JUST CALL FOR MORE INFO ,MORE HOUSE AVAULABLE IN VALENCIA,PLEASE CALL ONLY SERIOUS CLIENTS THANKS",https://www.zameen.com/Property/lahore_bankers_avenue_cooperative_housing_society_10_marla_brand_new_spanish_house_for_sale_in_banker_avenue_co-operative_housing_society-52223199-8325-1.html,House,Titanium,no,"Valencia Housing Society, Lahore, Punjab",2.4 Crore,For Sale
Added: 33 minutes ago,"Main Features,Rooms,Business and Communication,Community Features,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities
",8 Marla,5,4,PKR,super hot,"8 Marla Luxurious Bungalow For Sale In DHA Phase 9 Town Lahore,Bungalow Details , 4 Master Bed with attached Baths, 5 Bathrooms in the Bungalow. , 1 Beautiful T. V Lounge 1 Drawing & Dining , 1 Fotile Company Kitchens, 0 Servant Quarters, 1 Big Cars Parking, Grohi Sanitary Fittings, 1 Store Rooms, Beautiful Lawn & Terrace, Bar B. Q Area in Bungalow, Ash Wood Door Almirah, Amazing Wallpapers & Entrance Lobby, Imported Marbles & Tiles Flooring, 1 Imported jacuzzis and 2 Cabin Showers in baths. ,Main Approach from Ring Road Near Main Boulevard, All Banks Hub, Real Estates Hub, Al-Fatah Store and Gloria Jeans are on the way. ,Very Reasonable Demand. ,Meeting Possible 24 7. ,FOR MORE UPDATES CALL US ,WE WILL HELP YOU LIKE WHAT YOU WANT.",https://www.zameen.com/Property/cantt_new_iqbal_park_cantt_6_5_marla_well_maintained_house_for_sale_in_new_iqbal_park_near_dha_phase_1-50108815-8398-1.html,House,Titanium,no,"DHA Defence, Lahore, Punjab",3.45 Crore,For Sale
Added: 25 minutes ago,"Main Features,Rooms,Business and Communication,Community Features,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities
",10 Marla,5,4,PKR,super hot,"HOME RAEL ESTATE OFFERS. . . . . . . . . . . . . . . . . . . . . . . ,4 Master Size Bedrooms,5 Washroom With Jacuzzi Tub Shower Cabin Bath,2 Kitchen With Wooden Work,All Washrooms With Imported Fitting,2 Cars Parking,Green Lush Lawn,1 Big TV Lounge,Drawing Room,Dining Room,Powder Room,1 Store Rooms,Tile Wooden Flooring,1 Servant Quarters,Sitting Area And Bar B Q Area . ,Complete Wiring Of Ups And Generator Done In The Bungalow. ,CCTV Camera Provision Given In The House. ,Solid Steel Work Used For Outside Main Gate. ,Sliding Doors. ,All The Construction Near And Adjacent To House Is New. ,Spacious Green Belt. ,Planters All Around The Green Belt. ,Beautiful Lawn With Complete Variety Of Planters. ,Side Streets Are Proper Covered With Tiles. ,Bungalow Is Completed According To DHA By-Laws. ,Imported Kitchen With Practical Implementation Of All Appliances For Cooking. ,Solid Steel Work Used In Cabinets. ,Lights Provision In All Cabinets Of Kitchen. ,Dirty Kitchen Small Kitchen Built With The Same Style Of Outer Kitchen. ,Air Conditioners Installed In Bed Rooms Kitchen Dinning And Drawing Room. ,Double Glace Windows For Sound Proofing. ,Washing Area Is Elegantly Managed At The Back Side Of Bungalow. ,Good Sizes Of Washrooms With Large Wardrobes In It. ,Rain Showers Are Installed In Washrooms.",https://www.zameen.com/Property/lahore_bankers_avenue_cooperative_housing_society_10_marla_brand_new_spanish_house_for_sale_in_banker_avenue_co-operative_housing_society-52223199-8325-1.html,House,Titanium,no,"DHA Defence, Lahore, Punjab",4.79 Crore,For Sale
Added: 33 minutes ago,"Main Features,Rooms,Business and Communication,Community Features,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities
",5 Marla,,5,PKR,super hot,"* Sarina'S Builder Offers You Ready Houses On Installment Plus Cash,* On Installments house Delivered In 4 To 6 Months As Per Your Selected Design on Map location 3 to 5 Years Easy Installments Plan,* Payment schedule can adjust as you want it's totally depends on you how to mange it,* Model Houses Available For Visit Pictures Are Used As Modal House.",https://www.zameen.com/Property/cantt_new_iqbal_park_cantt_6_5_marla_well_maintained_house_for_sale_in_new_iqbal_park_near_dha_phase_1-50108815-8398-1.html,House,Titanium,no,,1.62 Crore,"Park View City, Lahore, Punjab"
Added: 33 minutes ago,"Main Features,Rooms,Business and Communication,Community Features,Nearby Locations and Other Facilities,Other Facilities
",5 Marla,4,3,PKR,super hot,"AL-WARIS PROPERTIES OFFERS:,5-Marla Brand New Beautiful Lavish Villa For Sale In DHA Lahore ,Property Overview , 3 Master Bedrooms with branded attached bathrooms. , Designed walls and ceiling. , All baths are equipped with imported Grohe fitting. , Amazing woodwork all teak wood ash wood used in a bungalow , Bathtubs Jacuzzi installed. , House is located near the park mosque and commercial market. , Double storey house, , Beautiful terrace with a beautiful view. , Solid steel work used for the outside main gate. , Complete marble tiled wooden flooring. , Wash rooms are completely covered by Spanish Italian tiles. , All the construction is done under the supervision of the best architecture. , Planters all around in the lawn. , Beautiful lawn with a complete variety of planters. , Side streets are proper covered with tiles , House is completed according to DHA by-laws , Imported kitchen with the practical implementation of all appliances. , Solid steelwork used in cabinets , Lights provision in all cabinets of kitchen , Complete imported appliances installed in the kitchen including Fridge Cooking , Hob Microwave TV , Service kitchen small kitchen built with the same style of outer kitchen , Spacious service kitchen , Fall Ceiling done all over including bedrooms drawing dining and kitchen. ,Protection sheets installed while building the upper portion to keep both portions cool in summer s ,Double glace windows for soundproofing ,Solid stairs built with steel framework and granite used in outer ,Main beauty of the house is the patio. Located in the mid of the house that gives an evergreen fresh feeling from all the rooms and tv lounge. ,Beautiful design and good quality fittings and accessories. ,Reasonable Demand. ,It is sure to be a profitable deal for any genuine client. ,For more information please contact.",https://www.zameen.com/Property/cantt_new_iqbal_park_cantt_6_5_marla_well_maintained_house_for_sale_in_new_iqbal_park_near_dha_phase_1-50108815-8398-1.html,House,Titanium,no,"DHA Defence, Lahore, Punjab",2.45 Crore,For Sale
Added: 33 minutes ago,"Main Features,Rooms,Business and Communication,Community Features,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities
",1 Kanal,6,5,PKR,super hot,"On 70 Ft Rd Fully Furnished 1 Kanal Remarkable Bungalow On Top Location For Sale in DHA Phase 7 Lahore,Features , 5 Master Size Bedrooms, 6 Washroom With Jacuzzi Tub Shower Cabin Bath, 3 Kitchen with Wooden Work, All Washrooms With Imported Fitting, 4 Cars Parking, Green Lush Lawn, 2 Big TV Lounge, Drawing Room, Dining Room, Powder Room, 2 Store Rooms, Tile Wooden flooring, 2 Servant Quarters, Sitting Area And Bar B Q Area . , Double Unit Bungalow, Complete Wiring Of Ups And Generator Done In The Bungalow. , CCTV Camera Provision Given In The House. , Solid Steel Work Used For Outside Main Gate. , Sliding Doors. , All The Construction Near And Adjacent To House Is New. , Spacious Green Belt. , Planters All Around The Green Belt. , Beautiful Lawn With Complete Variety Of Planters. , Side Streets Are Proper Covered With Tiles. , Bungalow Is Completed According To DHA By-Laws. , Imported Kitchen With Practical Implementation Of All Appliances For Cooking. , Solid Steel Work Used In Cabinets. , Lights Provision In All Cabinets Of Kitchen. , Dirty Kitchen Small Kitchen Built With The Same Style Of Outer Kitchen. , Air Conditioners Installed In Bed Rooms Kitchen Dinning And Drawing Room. , Double Glace Windows For Sound Proofing. , Washing Area Is Elegantly Managed At The Back Side Of Bungalow. , Good Sizes Of Washrooms With Large Wardrobes In It. , Rain Showers Are Installed In Washrooms. , Superb Elevation.",https://www.zameen.com/Property/cantt_new_iqbal_park_cantt_6_5_marla_well_maintained_house_for_sale_in_new_iqbal_park_near_dha_phase_1-50108815-8398-1.html,House,Titanium,no,"DHA Defence, Lahore, Punjab",11.95 Crore,For Sale
Added: 33 minutes ago,"Main Features,Rooms,Business and Communication,Community Features,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities
",1 Kanal,6,5,PKR,super hot,"House # 595, Sector U, Phase 7, DHA Lahore - LA Maison Dior A Master Piece Unveiled!,A Signature Project By Haram Estate & Builders - Where Luxury Meets Perfection!,Step into a World Of Elegance With 1 Kanal Fully Furnished Corner Bungalow,Imported Christian Dior Lounge With Dior Fabrics. ,Double-Height Grand Entrance & TV Lounge. ,Lazer Profile Lights & Imported Chandeliers. ,Solid Wooden Ceilings & Spelli Wooden Doors. ,15 KV Solar System With Green Meter. ,Lush Green Landscaping & Waterfall Feature. ,UPVC (Turkish) Windows with Tempered Glass. ,This exquisite 1 Kanal fully furnished corner bungalow is a masterpiece of elegance and modern living. Featuring an imported Christian Dior lounge with Dior fabrics, a stunning double-height grand entrance, and a spacious TV lounge, every detail exudes sophistication. Lazer profile lights, imported chandeliers, solid wooden ceilings, and Spelli wooden doors enhance its charm. A 15 KV solar system with a green meter ensures energy efficiency, while lush green landscaping and a waterfall feature add serenity. ,Designed By Asad Afzal & Interiors By Asma Nabeel (Native Interior), This Home Is a Blend of Sophistication, Luxury and Modern Living.",https://www.zameen.com/Property/cantt_new_iqbal_park_cantt_6_5_marla_well_maintained_house_for_sale_in_new_iqbal_park_near_dha_phase_1-50108815-8398-1.html,House,Titanium,no,"DHA Defence, Lahore, Punjab",15.5 Crore,For Sale
Added: 33 minutes ago,"Rooms,Business and Communication,Community Features,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities
",3 Marla,4,3,PKR,super hot,"3 Marla Brand New Semi Furnished House Available For Sale In Al Kabir Town Phase #2 Block -B,Main Raiwind Road Lahore. ,Key Features: ,3-Bedroom's ,3-Bathroom's ,2-Kitchen ,1-Drawing Room ,1-Tv Lounge, 1 Porch For one car ,Salient Features: ,Gated Community ,24/7 Security ,Carpeted Road ,Amusement Park's ,Central Masjid, Commercial Complex,Nearly University,Community Center Electricity Backup ,Public Transport ,24/7 Streets Light's CCTV Cameras ,Water Filtration Plant ,Demand of this House One Crore Forty-five Lac Only Negotiable. ,Show Less",https://www.zameen.com/Property/cantt_new_iqbal_park_cantt_6_5_marla_well_maintained_house_for_sale_in_new_iqbal_park_near_dha_phase_1-50108815-8398-1.html,House,Titanium,no,"Raiwind Road, Lahore, Punjab",1.45 Crore,For Sale
Added: 33 minutes ago,"Main Features,Rooms,Business and Communication,Community Features,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities
",1 Kanal,6,5,PKR,super hot,"We proudly present a stunning, Brand-New 1 Kanal house in the heart of Phase 7. ,Designed with modern architecture and impeccable finishes, this home offers an unparalleled luxury living experience. ,Key Features: ,5 spacious bedrooms, each with attached bathrooms ,6 bathrooms, including a servant's bathroom ,Modern design with sleek lines and sophisticated finishes ,Convenient servant's room located in the basement ,Durable and stylish tiled flooring throughout the house ,Double-height lobby creating a grand entrance ,Additional Features: ,Prime location in Phase 7, near DHA RAYA and Dolmen Mall ,Ample parking space for both residents and guests ,Dont miss the opportunity to own this luxury home in the highly desirable Phase 7.",https://www.zameen.com/Property/cantt_new_iqbal_park_cantt_6_5_marla_well_maintained_house_for_sale_in_new_iqbal_park_near_dha_phase_1-50108815-8398-1.html,House,Titanium,no,"DHA Defence, Lahore, Punjab",7 Crore,For Sale
Added: 25 minutes ago,"Main Features,Rooms,Business and Communication,Community Features,Nearby Locations and Other Facilities",11 Marla,5,4,PKR,super hot,FOR FURTHER DETAILS CONTACT US THIS HOUSE OWNER BUILT AND DESIGNES IT FOR HIMSELF NO WORK REQUIRED,https://www.zameen.com/Property/lahore_bankers_avenue_cooperative_housing_society_10_marla_brand_new_spanish_house_for_sale_in_banker_avenue_co-operative_housing_society-52223199-8325-1.html,House,Titanium,no,"Marghzar Officers Colony, Lahore, Punjab",4.25 Crore,For Sale
Added: 33 minutes ago,"Main Features,Rooms,Business and Communication,Community Features,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities
",5 Marla,4,3,PKR,super hot,"Description,Experience the perfect blend of luxury and convenience in a secure gated community that offers:24/7 Surveillance: Enjoy peace of mind with round-the-clock security for you and your family. Lush Green Parks: Relax and unwind in beautifully landscaped parks and open spaces designed for leisure and recreation. Vibrant Shopping and Dining: Explore nearby shopping malls and restaurants, making everyday conveniences just a stone's throw away. Educational Excellence: Access top-tier schools and colleges within close proximity, ensuring quality education for your children. Premium Healthcare Facilities: Benefit from nearby hospitals and clinics that provide comprehensive healthcare services. Modern Infrastructure: Enjoy the advantages of underground utilities, ensuring a clutter-free environment and uninterrupted services. Community Center: Engage in social gatherings and events at the community center, fostering a strong neighborhood spirit. State-of-the-Art Sports Complex: Stay active with a fully-equipped gym, swimming pool, and various sports courts for all ages. Beautiful Mosques: Find spiritual fulfillment with easily accessible mosques designed for community worship. Eco-Friendly Initiatives: Participate in sustainable living practices with green spaces and eco-friendly projects promoting environmental health. Invest now in a lifestyle that balances modern living with community warmtheverything you need is at your doorstep! Make Park View City your home today!",https://www.zameen.com/Property/cantt_new_iqbal_park_cantt_6_5_marla_well_maintained_house_for_sale_in_new_iqbal_park_near_dha_phase_1-50108815-8398-1.html,House,Titanium,no,"Park View City, Lahore, Punjab",1.75 Crore,For Sale
Added: 33 minutes ago,"Main Features,Rooms,Business and Communication,Community Features,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities
",1 Kanal,6,5,PKR,super hot,"We proudly present a stunning, Brand-New 1 Kanal house in the heart of Phase 6. ,Designed with modern architecture and impeccable finishes, this home offers an unparalleled luxury living experience. ,Key Features: ,5 spacious bedrooms, each with attached bathrooms ,6 bathrooms, including a servant's bathroom ,Modern design with sleek lines and sophisticated finishes ,Convenient servant's room located in the basement ,Durable and stylish tiled flooring throughout the house ,Double-height lobby creating a grand entrance ,Additional Features: ,Prime location in Phase 6, near DHA RAYA and Dolmen Mall ,Ample parking space for both residents and guests ,Dont miss the opportunity to own this luxury home in the highly desirable Phase 6.",https://www.zameen.com/Property/cantt_new_iqbal_park_cantt_6_5_marla_well_maintained_house_for_sale_in_new_iqbal_park_near_dha_phase_1-50108815-8398-1.html,House,Titanium,no,"DHA Defence, Lahore, Punjab",8.5 Crore,For Sale
Added: 33 minutes ago,"Main Features,Rooms,Business and Communication,Community Features,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities
",1 Kanal,5,5,PKR,super hot,"1 KANAL OWNER BUILT BRAND NEW CONDITION HOUSE WITH GAS AVAILABLE FOR SALE IN CANAL GARDEN NEAR BAHRIA TOWN LAHORE,Note : PICTURES ARE 100% ORIGINAL , BANK LOAN POSSIBLE , MOST DEMANDING LOCATION ,5 BEDROOMS ,ATTACH BATH ,2 KITCHEN ,MINI KITCHEN ,TV LOUNGE ,DRAWING ROOM ,DINING AREA ,LAUNDRY AREA ,PATIO,TERRACE ,STORE ROOMS,HOT LOCATION ,FACING KANAL,NEAR PARK,NEAR MARKET ,NEAR SCHOOL ,A+ MATERIAL ,GAS AVAILABLE ,UNMATCHED OPPORTUNITY ,CONTACT US FOR MORE INFORMATION OR CONFIRM YOUR VISIT NOW",https://www.zameen.com/Property/cantt_new_iqbal_park_cantt_6_5_marla_well_maintained_house_for_sale_in_new_iqbal_park_near_dha_phase_1-50108815-8398-1.html,House,Titanium,no,"Canal Garden, Lahore, Punjab",4.28 Crore,For Sale
